Parent Link,Parent Title,Child Link,Child Title
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Xavier_Delamarre',b'Xavier Delamarre'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Alfred_Holder',b'Alfred Holder'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Welsh_language',b'Welsh language'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Proto-Celtic',b'Proto-Celtic'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Pierre-Yves_Lambert',b'Pierre-Yves Lambert'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Old_Irish',b'Old Irish'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_(mythology)',b'Paris (mythology)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Greek_mythology',b'Greek mythology'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Age_of_Enlightenment',b'Age of Enlightenment'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Street_light',b'Street light'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gas_lighting',b'Gas lighting'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_du_Carrousel',b'Place du Carrousel'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Rue_de_Rivoli',b'Rue de Rivoli'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_Vend%C3%B4me',b'Place Vend\xc3\xb4me'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Argot',b'Argot'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org//upload.wikimedia.org/wikipedia/commons/c/cb/Parisien2.ogg',b'Parisien2.ogg'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org//upload.wikimedia.org/wikipedia/commons/b/b9/Parigot.ogg',b'Parigot.ogg'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/History_of_Paris',b'History of Paris'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Timeline_of_Paris',b'Timeline of Paris'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Parisii_(Gaul)',b'Parisii (Gaul)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Celt',b'Celt'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Senones',b'Senones'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Roman_Empire',b'Roman Empire'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_Basin',b'Paris Basin'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Rive_Gauche',b'Rive Gauche'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Amphitheatre',b'Amphitheatre'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Western_Roman_Empire',b'Western Roman Empire'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Christianity',b'Christianity'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Saint_Denis_of_Paris',b'Saint Denis of Paris'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Basilica_of_Saint-Denis',b'Basilica of Saint-Denis'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Clovis_I',b'Clovis I'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Merovingian_dynasty',b'Merovingian dynasty'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Franks',b'Franks'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Francien',b'Francien'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Siege_of_Paris_(845)',b'Siege of Paris (845)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Siege_of_Paris_(885%E2%80%93886)',b'Siege of Paris (885\xe2\x80\x93886)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Count_of_Paris',b'Count of Paris'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Odo_of_France',b'Odo of France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/West_Francia',b'West Francia'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/House_of_Capet',b'House of Capet'

